Currency,Index Name,CDM Enum Value,Description
AED,EBOR,AED-EBOR-Reuters,UAE Emirates Interbank Offered Rate via Reuters
AED,EIBOR,AED-EIBOR,UAE Emirates Interbank Offered Rate
AUD,AONIA,AUD-AONIA,Australian Overnight Index Average
AUD,AONIA,AUD-AONIA-OIS Compound,AONIA OIS Compound
AUD,AONIA,AUD-AONIA-OIS-COMPOUND,AONIA OIS Compound (Alternative)
AUD,AONIA,AUD-AONIA-OIS-COMPOUND-SwapMarker,AONIA OIS Compound SwapMarker
AUD,BBR,AUD-BBR-AUBBSW,Australian Bank Bill Reference Rate AUBBSW
AUD,BBR,AUD-BBR-BBSW,Australian Bank Bill Swap Rate
AUD,BBR,AUD-BBR-BBSW-Bloomberg,Australian BBSW via Bloomberg
AUD,BBR,AUD-BBR-BBSY (BID),Australian Bank Bill Bid Rate
AUD,BBR,AUD-BBR-ISDC,Australian BBR ISDC
AUD,BBSW,AUD-BBSW,Australian Bank Bill Swap Rate
AUD,BBSW,AUD-BBSW Quarterly Swap Rate ICAP,BBSW Quarterly Swap Rate via ICAP
AUD,BBSW,AUD-BBSW Semi Annual Swap Rate ICAP,BBSW Semi Annual Swap Rate via ICAP
AUD,BBSY,AUD-BBSY Bid,Australian Bank Bill Bid Rate
AUD,LIBOR,AUD-LIBOR-BBA,AUD LIBOR BBA
AUD,LIBOR,AUD-LIBOR-BBA-Bloomberg,AUD LIBOR BBA via Bloomberg
AUD,LIBOR,AUD-LIBOR-Reference Banks,AUD LIBOR Reference Banks
AUD,Swap Rate,AUD-Quarterly Swap Rate-ICAP,Quarterly Swap Rate ICAP
AUD,Swap Rate,AUD-Quarterly Swap Rate-ICAP-Reference Banks,Quarterly Swap Rate ICAP Reference Banks
AUD,Swap Rate,AUD-Semi-Annual Swap Rate-11:00-BGCANTOR,Semi-Annual Swap Rate 11:00 BGCANTOR
AUD,Swap Rate,AUD-Semi-Annual Swap Rate-BGCANTOR-Reference Banks,Semi-Annual Swap Rate BGCANTOR Reference Banks
AUD,Swap Rate,AUD-Semi-annual Swap Rate-ICAP,Semi-annual Swap Rate ICAP
AUD,Swap Rate,AUD-Semi-Annual Swap Rate-ICAP-Reference Banks,Semi-Annual Swap Rate ICAP Reference Banks
AUD,Swap Rate,AUD-Swap Rate-Reuters,Swap Rate Reuters
BRL,CDI,BRL-CDI,Brazilian Interbank Deposit Rate
CAD,BA,CAD-BA-CDOR,Canadian Bankers' Acceptance CDOR
CAD,BA,CAD-BA-CDOR-Bloomberg,Canadian BA CDOR via Bloomberg
CAD,BA,CAD-BA-ISDD,Canadian BA ISDD
CAD,BA,CAD-BA-Reference Banks,Canadian BA Reference Banks
CAD,BA,CAD-BA-Reuters,Canadian BA Reuters
CAD,BA,CAD-BA-Telerate,Canadian BA Telerate
CAD,CDOR,CAD-CDOR,Canadian Dollar Offered Rate
CAD,CORRA,CAD-CORRA,Canadian Overnight Repo Rate Average
CAD,CORRA,CAD-CORRA CanDeal TMX Term,CORRA CanDeal TMX Term
CAD,CORRA,CAD-CORRA Compounded Index,CORRA Compounded Index
CAD,CORRA,CAD-CORRA-OIS Compound,CORRA OIS Compound
CAD,CORRA,CAD-CORRA-OIS-COMPOUND,CORRA OIS Compound (Alternative)
CAD,Swap Rate,CAD-ISDA-Swap Rate,CAD ISDA Swap Rate
CAD,LIBOR,CAD-LIBOR-BBA,CAD LIBOR BBA
CAD,LIBOR,CAD-LIBOR-BBA-Bloomberg,CAD LIBOR BBA Bloomberg
CAD,LIBOR,CAD-LIBOR-BBA-SwapMarker,CAD LIBOR BBA SwapMarker
CAD,LIBOR,CAD-LIBOR-Reference Banks,CAD LIBOR Reference Banks
CAD,REPO,CAD-REPO-CORRA,CAD REPO CORRA
CAD,TBILL,CAD-TBILL-ISDD,CAD Treasury Bill ISDD
CAD,TBILL,CAD-TBILL-Reference Banks,CAD Treasury Bill Reference Banks
CAD,TBILL,CAD-TBILL-Reuters,CAD Treasury Bill Reuters
CAD,TBILL,CAD-TBILL-Telerate,CAD Treasury Bill Telerate
CHF,LIBOR Swap,CHF-3M LIBOR SWAP-CME vs LCH-ICAP,3M LIBOR Swap CME vs LCH ICAP
CHF,LIBOR Swap,CHF-3M LIBOR SWAP-CME vs LCH-ICAP-Bloomberg,3M LIBOR Swap CME vs LCH ICAP Bloomberg
CHF,LIBOR Swap,CHF-3M LIBOR SWAP-EUREX vs LCH-ICAP,3M LIBOR Swap EUREX vs LCH ICAP
CHF,LIBOR Swap,CHF-3M LIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,3M LIBOR Swap EUREX vs LCH ICAP Bloomberg
CHF,LIBOR Swap,CHF-6M LIBOR SWAP-CME vs LCH-ICAP,6M LIBOR Swap CME vs LCH ICAP
CHF,LIBOR Swap,CHF-6M LIBORSWAP-CME vs LCH-ICAP-Bloomberg,6M LIBOR Swap CME vs LCH ICAP Bloomberg
CHF,LIBOR Swap,CHF-6M LIBOR SWAP-EUREX vs LCH-ICAP,6M LIBOR Swap EUREX vs LCH ICAP
CHF,LIBOR Swap,CHF-6M LIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,6M LIBOR Swap EUREX vs LCH ICAP Bloomberg
CHF,Swap Rate,CHF-Annual Swap Rate,Annual Swap Rate
CHF,Swap Rate,CHF-Annual Swap Rate-11:00-ICAP,Annual Swap Rate 11:00 ICAP
CHF,Swap Rate,CHF-Annual Swap Rate-Reference Banks,Annual Swap Rate Reference Banks
CHF,Basis Swap,CHF-Basis Swap-3m vs 6m-LIBOR-11:00-ICAP,Basis Swap 3m vs 6m LIBOR 11:00 ICAP
CHF,Swap Rate,CHF-ISDAFIX-Swap Rate,CHF ISDAFIX Swap Rate
CHF,LIBOR,CHF-LIBOR,CHF LIBOR
CHF,LIBOR,CHF-LIBOR-BBA,CHF LIBOR BBA
CHF,LIBOR,CHF-LIBOR-BBA-Bloomberg,CHF LIBOR BBA Bloomberg
CHF,LIBOR,CHF-LIBOR-ISDA,CHF LIBOR ISDA
CHF,LIBOR,CHF-LIBOR-Reference Banks,CHF LIBOR Reference Banks
CHF,OIS,CHF-OIS-11:00-ICAP,CHF OIS 11:00 ICAP
CHF,SARON,CHF-SARON,Swiss Average Rate Overnight
CHF,SARON,CHF-SARON Average 12M,SARON Average 12 Month
CHF,SARON,CHF-SARON Average 1M,SARON Average 1 Month
CHF,SARON,CHF-SARON Average 1W,SARON Average 1 Week
CHF,SARON,CHF-SARON Average 2M,SARON Average 2 Month
CHF,SARON,CHF-SARON Average 3M,SARON Average 3 Month
CHF,SARON,CHF-SARON Average 6M,SARON Average 6 Month
